transactionId,timestamp,type,asset,quantity,priceUsd,fee,note
EXC-1001,2024-01-01T10:00:08Z,BUY,BTC,1.0,42000,12,
EXC-1002,2024-01-01T10:05:05Z,SELL,ETH,2.0,2400,8,
EXC-1003,2024-01-01T10:10:03Z,BUY,SOL,10.0,120,1,
EXC-1004,2024-01-01T10:15:02Z,BUY,MATIC,50.0,0.80,0.2,
EXC-1005,2024-01-01T10:20:04Z,SELL,LINK,4.0,14,0.4,
EXC-1006,2024-01-01T10:25:06Z,BUY,USDT,1000.0,1,0.1,
EXC-1007,2024-01-01T10:30:02Z,BUY,LTC,3.0,70,0.3,
EXC-1008,2024-01-01T10:35:07Z,SELL,ADA,200.0,0.45,0.5,
EXC-1009,2024-01-01T10:40:03Z,BUY,XRP,300.0,0.55,0.6,
EXC-1010,2024-01-01T10:45:09Z,BUY,BTC,0.75,42050,11,
EXC-1011,2024-01-01T10:50:11Z,SELL,ETH,1.25,2410,9,
EXC-1012,2024-01-01T10:55:05Z,BUY,BTC,0.3001,42100,4,conflicting quantity vs USR-012
EXC-1013,2024-01-01T11:00:04Z,BUY,ETH,1.75,2395,5,
EXC-1014,2024-01-01T11:05:04Z,SELL,SOL,8.5,118,1,
EXC-1015,2024-01-01T11:10:03Z,BUY,MATIC,20.0,0.79,0.2,
EXC-1016,2024-01-01T11:35:03Z,BUY,AVAX,12.0,35,0.2,
EXC-1017,2024-01-01T11:15:04Z,SELL,LINK,6.0,13.5,0.4,
EXC-1018,2024-01-01T11:45:06Z,BUY,NEAR,30.0,3.2,0.1,
EXC-1024,2024-01-01T11:45:00Z,BUY,DOGE,500.0,0.12,0.1,unmatched exchange one
EXC-1025,2024-01-01T11:50:00Z,SELL,AVAX,30.0,35,0.2,unmatched exchange two
